location,hour_of_day,day_of_week,crime_type,incident_count_last_24h,severity_score,is_hotspot
carrollton ridge,20,3,other,0,0.0,0
unknown,23,0,other,10,0.4,0
unknown,14,1,other,2,0.0,0
highlandtown,0,4,other,0,0.0,0
unknown,1,1,other,7,0.0,0
downtown,5,5,other,0,0.0,0
mcelderry park,20,3,other,0,0.4,0
midtown-edmondson,13,4,other,1,0.0,0
unknown,2,3,other,10,0.0,0
canton industrial area,1,1,other,0,0.0,0
unknown,13,1,other,11,0.0,0
upton,0,3,other,6,0.0,0
reservoir hill,10,1,other,0,0.0,0
unknown,22,0,other,2,0.0,0
ellwood park/monument,0,3,other,0,0.0,0
morrell park,6,0,other,0,0.4,0
cherry hill,19,3,other,0,0.0,0
downtown,0,5,assault,0,0.0,1
penn-fallsway,17,0,property,0,0.0,0
mount holly,15,6,other,0,0.0,0
gwynns falls,13,3,assault,0,0.4,1
cherry hill,15,3,other,0,0.0,0
madison park,2,5,other,0,0.0,0
reservoir hill,6,4,assault,0,0.4,1
cherry hill,16,3,other,0,0.4,0
unknown,10,3,other,6,0.0,0
cedonia,3,2,other,0,0.0,0
unknown,15,2,other,5,0.0,0
allendale,1,5,other,0,0.4,0
unknown,8,1,other,12,0.0,0
biddle street,3,6,other,0,0.0,0
woodbourne heights,15,3,other,0,0.0,0
unknown,19,0,other,7,0.0,0
carroll-south hilton,22,0,other,0,0.4,0
downtown,3,6,other,0,0.0,0
coldstream homestead montebello,6,1,other,0,0.0,0
unknown,20,4,other,8,0.0,0
union square,16,0,other,0,0.0,0
unknown,14,0,other,4,0.0,0
irvington,2,1,other,0,0.0,0
unknown,6,3,other,4,0.0,0
broadway east,20,1,other,1,0.0,0
belair-edison,1,2,other,0,0.0,0
unknown,22,2,other,4,0.4,0
jonestown,14,1,other,0,0.0,0
unknown,14,3,other,15,0.0,0
hunting ridge,2,5,other,0,0.0,0
federal hill,6,6,other,0,0.0,0
harbor east,3,3,other,0,0.0,0
unknown,6,5,other,10,0.0,0
unknown,14,3,assault,7,0.4,1
greenmount west,18,2,other,0,0.5,0
frankford,16,1,assault,0,0.4,1
unknown,5,4,other,7,0.0,0
carrollton ridge,17,2,other,0,0.0,0
harlem park,2,5,other,1,0.0,0
unknown,16,3,other,7,0.0,0
towanda-grantley,0,1,other,0,0.0,0
darley park,22,3,other,0,0.5,0
ellwood park/monument,19,2,other,0,0.0,0
unknown,3,4,other,4,0.4,0
carrollton ridge,13,4,other,0,0.0,0
unknown,17,4,other,10,0.4,0
unknown,7,2,other,11,0.0,0
coppin heights/ash-co-east,8,1,other,0,0.4,0
fells point,12,6,other,0,0.0,0
unknown,14,1,other,5,0.0,0
unknown,14,3,other,7,0.0,0
druid heights,22,3,other,0,0.0,0
highlandtown,17,1,other,0,0.0,0
sandtown-winchester,17,1,other,0,0.0,0
south clifton park,15,6,other,0,0.0,0
highlandtown,4,3,assault,0,0.0,1
unknown,0,6,other,4,0.0,0
mondawmin,17,2,other,0,0.5,0
unknown,14,1,other,3,0.4,0
curtis bay,3,0,assault,0,0.4,1
franklin square,4,4,other,1,0.0,0
unknown,14,1,other,24,0.0,0
harwood,10,1,other,0,0.0,0
broadway east,12,5,other,1,0.0,0
unknown,0,1,other,18,0.0,0
inner harbor,15,2,other,0,0.0,0
north harford road,2,6,other,0,0.4,0
belair-edison,12,6,other,0,0.4,0
unknown,15,1,other,4,0.0,0
mcelderry park,1,1,other,0,0.0,0
sharp-leadenhall,6,5,other,0,0.4,0
unknown,4,2,other,9,0.0,0
unknown,12,3,other,11,0.0,0
unknown,4,6,other,7,0.0,0
unknown,15,3,other,5,0.0,0
millhill,17,0,other,0,0.5,0
walbrook,1,2,other,0,0.0,0
unknown,15,2,other,7,0.0,0
unknown,23,4,other,4,0.0,0
unknown,17,3,other,7,0.0,0
unknown,9,6,other,4,0.0,0
central park heights,21,1,other,0,0.0,0
unknown,14,4,other,11,0.0,0
unknown,13,4,other,9,0.0,0
arlington,13,1,other,0,0.0,0
unknown,19,0,other,2,0.0,0
grove park,2,2,other,0,0.4,0
unknown,5,1,other,11,0.0,0
carrollton ridge,6,6,other,0,0.0,0
unknown,22,6,other,7,0.0,0
unknown,14,4,other,2,0.4,0
unknown,13,3,other,7,0.4,0
penn north,19,0,other,0,0.0,0
unknown,1,5,other,5,0.0,0
carrollton ridge,20,0,other,0,0.0,0
broadway east,13,1,other,0,0.0,0
arlington,20,2,other,0,0.0,0
unknown,3,5,other,7,0.0,0
downtown,20,6,other,0,0.0,0
belair-edison,16,3,other,0,0.0,0
oliver,23,4,other,0,0.0,0
cherry hill,23,6,other,1,0.5,0
orangeville,23,0,other,0,0.4,0
sandtown-winchester,0,1,other,0,0.0,0
perkins homes,3,1,other,0,0.4,0
cherry hill,11,3,assault,0,0.0,1
morrell park,16,1,other,0,0.0,0
harlem park,18,2,other,0,0.0,0
berea,23,1,other,0,0.0,0
unknown,17,1,other,9,0.0,0
unknown,14,1,other,14,0.0,0
coldstream homestead montebello,13,3,other,1,0.0,0
unknown,21,2,other,12,0.4,0
unknown,16,1,other,8,0.0,0
unknown,17,1,other,6,0.0,0
unknown,10,2,other,11,0.0,0
druid heights,14,4,other,0,0.0,0
university of maryland,7,4,other,0,0.0,0
unknown,17,1,other,6,0.0,0
madison park,1,6,assault,0,0.4,1
unknown,4,3,other,12,0.0,0
unknown,18,3,other,3,0.4,0
frankford,6,1,assault,0,0.4,1
unknown,13,2,other,14,0.0,0
unknown,6,6,other,13,0.0,0
liberty square,16,1,other,0,0.0,0
parkview/woodbrook,23,1,other,0,0.0,0
washington hill,20,6,other,0,0.4,0
milton-montford,21,0,other,0,0.0,0
unknown,1,2,other,9,0.0,0
unknown,0,2,other,4,0.4,0
riverside,18,0,other,0,0.0,0
unknown,19,6,other,2,0.0,0
millhill,18,4,assault,0,0.4,1
easterwood,2,5,other,0,0.0,0
unknown,19,4,other,7,0.4,0
new southwest/mount clare,18,0,other,0,0.0,0
unknown,20,0,other,10,0.0,0
unknown,5,6,other,5,0.0,0
unknown,20,4,other,6,0.0,0
harlem park,12,4,other,0,0.4,0
sandtown-winchester,14,2,other,1,0.0,0
west arlington,18,2,other,0,0.0,0
unknown,15,1,other,5,0.0,0
unknown,1,1,other,6,0.0,0
unknown,22,6,other,8,0.4,0
unknown,5,6,other,5,0.4,0
hillen,6,5,assault,0,0.0,1
central park heights,18,4,other,0,0.0,0
unknown,17,1,other,13,0.0,0
south clifton park,5,6,other,0,0.0,0
unknown,20,2,assault,9,0.4,1
unknown,19,2,other,14,0.0,0
carroll - camden industrial area,16,1,other,0,0.0,0
unknown,16,2,other,13,0.0,0
unknown,13,2,other,8,0.0,0
langston hughes,14,0,other,0,0.0,0
downtown,1,6,other,0,0.0,0
barclay,20,3,other,0,0.0,0
unknown,19,3,assault,10,0.4,1
unknown,14,3,other,5,0.0,0
curtis bay,0,3,assault,0,0.4,1
unknown,7,0,other,6,0.4,0
frankford,15,0,assault,1,0.4,1
franklin square,16,3,other,0,0.0,0
four by four,18,3,other,0,0.0,0
berea,22,0,other,0,0.0,0
unknown,2,4,assault,2,0.4,1
unknown,5,5,other,9,0.0,0
unknown,0,4,other,2,0.0,0
unknown,1,4,other,7,0.0,0
unknown,13,1,other,8,0.0,0
rosemont,17,3,other,0,0.0,0
edgewood,22,3,other,0,0.0,0
care,20,0,other,0,0.0,0
milton-montford,15,4,other,0,0.0,0
sandtown-winchester,17,3,other,1,0.0,0
downtown,21,6,assault,1,0.4,1
unknown,1,2,other,1,0.0,0
unknown,5,4,other,7,0.0,0
unknown,19,5,other,6,0.0,0
mount vernon,7,4,other,6,0.0,0
unknown,16,3,other,2,0.4,0
greektown,9,5,assault,0,0.4,1
mount vernon,9,4,other,0,0.0,0
brooklyn,17,6,other,0,0.0,0
sandtown-winchester,21,6,other,4,0.0,0
coldstream homestead montebello,20,3,other,1,0.0,0
unknown,0,1,other,6,0.0,0
unknown,2,3,other,11,0.0,0
unknown,15,3,other,9,0.0,0
unknown,16,5,other,13,0.4,0
unknown,18,3,other,5,0.0,0
unknown,18,2,other,12,0.0,0
unknown,21,4,other,6,0.0,0
woodmere,21,3,other,0,0.0,0
charles north,0,6,other,0,0.0,0
unknown,1,3,other,16,0.0,0
unknown,17,2,other,4,0.0,0
care,12,5,other,0,0.0,0
liberty square,13,3,other,0,0.0,0
unknown,22,6,other,2,0.0,0
hamilton hills,4,1,other,0,0.0,0
unknown,21,1,other,12,0.4,0
oliver,17,4,other,1,0.0,0
unknown,5,4,other,7,0.4,0
unknown,20,2,other,14,0.0,0
unknown,17,3,other,2,0.4,0
yale heights,21,2,other,0,0.0,0
frankford,22,0,other,1,0.0,0
carrollton ridge,16,4,other,0,0.0,0
downtown,11,5,other,2,0.0,0
sandtown-winchester,6,6,other,0,0.0,0
mount holly,14,0,other,0,0.0,0
unknown,14,2,other,8,0.0,0
parkview/woodbrook,23,2,assault,0,0.4,1
unknown,0,2,other,13,0.0,0
cherry hill,9,2,assault,0,0.4,1
greektown,0,2,other,1,0.0,0
central park heights,13,1,other,1,0.0,0
dunbar-broadway,23,3,other,0,0.0,0
unknown,20,2,other,3,0.0,0
unknown,0,1,other,8,0.0,0
penn north,16,0,other,0,0.0,0
unknown,20,0,other,4,0.0,0
jonestown,13,1,other,0,0.0,0
upton,4,4,other,1,0.0,0
baltimore highlands,15,4,other,1,0.0,0
unknown,12,3,assault,16,0.4,1
unknown,11,3,other,10,0.0,0
belair-edison,2,4,other,0,0.0,0
east baltimore midway,16,0,other,0,0.0,0
mosher,0,0,other,0,0.0,0
carrollton ridge,15,6,other,0,0.0,0
downtown,4,4,other,0,0.0,0
federal hill,3,6,other,0,0.0,0
unknown,14,1,other,11,0.0,0
unknown,16,4,other,2,0.0,0
oliver,8,4,other,0,0.0,0
druid heights,9,3,other,0,0.0,0
unknown,14,2,other,20,0.0,0
brooklyn,6,2,other,0,0.4,0
mount vernon,6,2,other,1,0.0,0
unknown,18,1,other,6,0.0,0
unknown,17,2,other,8,0.0,0
unknown,4,3,other,3,0.4,0
federal hill,17,3,other,0,0.0,0
idlewood,12,4,other,0,0.0,0
unknown,15,0,other,5,0.4,0
unknown,15,3,other,10,0.0,0
carrollton ridge,11,1,assault,0,0.4,1
loch raven,0,3,other,0,0.0,0
unknown,5,3,other,13,0.0,0
unknown,13,3,other,12,0.0,0
unknown,16,5,other,8,0.4,0
pen lucy,19,2,other,0,0.0,0
unknown,12,4,other,5,0.0,0
unknown,1,0,other,6,0.0,0
brooklyn,7,4,assault,0,0.4,1
unknown,18,4,other,4,0.0,0
unknown,22,0,other,4,0.0,0
unknown,22,0,other,10,0.0,0
unknown,1,6,other,7,0.0,0
unknown,12,3,other,3,0.0,0
mount vernon,3,4,assault,0,0.4,1
curtis bay,4,0,assault,0,0.4,1
sandtown-winchester,17,1,other,1,0.0,0
unknown,15,4,other,6,0.0,0
unknown,22,5,other,9,0.0,0
penrose/fayette street outreach,23,0,other,0,0.0,0
unknown,19,5,other,8,0.0,0
westgate,23,4,other,0,0.4,0
harwood,1,6,other,0,0.0,0
unknown,6,1,other,5,0.0,0
unknown,22,4,other,8,0.0,0
unknown,6,0,other,8,0.0,0
south clifton park,16,2,other,0,0.0,0
unknown,1,4,other,10,0.0,0
unknown,15,0,other,3,0.4,0
unknown,14,1,other,5,0.0,0
unknown,15,2,other,12,0.0,0
unknown,21,4,other,4,0.0,0
unknown,11,4,other,4,0.4,0
west hills,15,1,other,0,0.0,0
unknown,12,6,other,7,0.0,0
mount vernon,16,2,other,3,0.0,0
heritage crossing,20,6,other,0,0.0,0
biddle street,20,4,other,0,0.0,0
unknown,17,3,other,8,0.0,0
berea,15,5,other,0,0.0,0
carrollton ridge,17,1,other,1,0.0,0
unknown,14,3,other,8,0.0,0
berea,4,3,other,0,0.5,0
liberty square,22,4,other,0,0.0,0
unknown,17,2,other,7,0.0,0
unknown,23,6,other,3,0.4,0
unknown,0,2,other,8,0.0,0
unknown,7,2,other,6,0.0,0
unknown,14,3,other,2,0.4,0
charles north,8,1,other,1,0.5,0
brooklyn,15,6,other,0,0.0,0
highlandtown,20,2,other,1,0.0,0
gay street,21,2,other,0,0.0,0
concerned citizens of forest park,23,1,other,0,0.0,0
coldstream homestead montebello,1,2,other,0,0.0,0
unknown,4,2,other,7,0.0,0
central park heights,15,0,other,0,0.0,0
unknown,18,2,other,9,0.0,0
unknown,16,2,other,2,0.4,0
unknown,14,4,other,9,0.0,0
unknown,16,6,other,1,0.0,0
unknown,22,3,assault,4,0.0,1
canton,15,1,other,0,0.4,0
northwest community action,20,1,other,0,0.0,0
unknown,20,5,other,3,0.0,0
unknown,18,0,other,4,0.0,0
unknown,0,4,other,13,0.0,0
pulaski industrial area,15,1,other,0,0.0,0
lauraville,4,5,other,0,0.4,0
unknown,14,5,other,1,0.4,0
unknown,11,2,other,7,0.4,0
shipley hill,17,0,other,0,0.0,0
unknown,22,3,other,5,0.4,0
mount vernon,14,1,other,1,0.0,0
unknown,15,0,other,2,0.0,0
woodmere,0,6,other,0,0.0,0
unknown,22,0,other,2,0.4,0
unknown,6,5,other,8,0.0,0
unknown,5,6,other,3,0.0,0
arlington,3,6,assault,0,0.4,1
