OBJECTID_1,NAME,OBJECTID,ADDRESS,GlobalID,x,y
1,College of Notre Dame of Maryland,1,4701 North Charles Street,{F4987E93-8D39-4FD5-BFCC-5150B5005D2B},-8529300.7225,4772151.9545
2,"Maryland Institute, College of Art",2,1300 W Mount Royal Ave,{B416424E-883F-4251-8FE5-2318E5860452},-8529423.9656,4765998.7199
3,University of Baltimore,3,1420 N. Charles Street,{272E38FB-711D-4F39-BFA6-C1E0ABE3F37B},-8528918.8051,4765611.2652
4,Stratford University,4,210 S Central Ave,{E44097D3-A1C0-402D-B430-E532C47AD4A2},-8527074.2572,4762997.7319
5,Baltimore City Community College- Downtown,5,50 Market Plaza,{63A53A6D-000C-44B8-A66C-DD9FE408D4C8},-8527902.9383,4762956.82850001
6,Soujourner-Douglass College,6,500 N. Caroline Street,{6BEFBD70-605E-448D-9BC3-4551753FC946},-8526878.2097,4764203.29960001
7,Baltimore Hebrew University,7,5800 Park Heights Avenue,{BC66B84C-5D12-4CD6-846F-FEEC31042396},-8536834.72419999,4772611.34000001
8,Johns Hopkins University,8,3400 N. Charles Street,{9C985366-34E6-413F-8017-91F95CDF92BD},-8529240.1471,4768902.1147
9,Loyola College,9,4501 North Charles Street,{28356134-79B0-4E99-911F-7CBECC12F47A},-8529479.01,4771332.4725
10,Coppin State College,10,2500 W North Ave,{329A8168-ED14-4B0D-B547-039E24A2D432},-8533482.9953,4766174.1817
11,Morgan State University,11,1700 East Cold Spring Lane,{FAD36E8A-E979-486F-BEE8-1516A3E2B08A},-8525376.1777,4771410.5566
12,University of Maryland at Baltimore,12,522 W Lombard,{6693EBED-01DB-4131-9A61-A3ADBCFE45C6},-8529580.2292,4762952.56620002
13,TESST College of Technology - Baltimore,13,1520 S Caton Ave,{D9966E65-EDCE-43F9-BF1E-1B3D9D09FB40},-8534370.1753,4759085.9507
14,Johns Hopkins Peabody Conservatory of Music,14,1E Mount Vernon Pl,{CEE4AA88-F36A-4360-A5FE-1772BC0C95CB},-8528725.4723,4764308.5844
15,Baltimore City Community College- West Side,15,2901 Liberity Heights Ave,{78EA11AE-BCC0-41D1-ADC8-123F03C03ACA},-8534088.0106,4767592.0408
